TD Error Mean: 0.0071, TD Error Std: 0.0042, Q1 Loss: 0.0001, Q2 Loss: 0.0000, Policy Loss: -5.3632, Log Prob Mean: -5.4178, Log Prob Std: 0.3299, Alpha: 0.9911, Log Alpha: -0.0089
TD Error Mean: 0.0069, TD Error Std: 0.0052, Q1 Loss: 0.0001, Q2 Loss: 0.0000, Policy Loss: -5.3347, Log Prob Mean: -5.3895, Log Prob Std: 0.6634, Alpha: 0.9910, Log Alpha: -0.0090
TD Error Mean: 0.0083, TD Error Std: 0.0072, Q1 Loss: 0.0001, Q2 Loss: 0.0000, Policy Loss: -5.3841, Log Prob Mean: -5.4344, Log Prob Std: 0.4454, Alpha: 0.9909, Log Alpha: -0.0091
TD Error Mean: 0.0100, TD Error Std: 0.0073, Q1 Loss: 0.0001, Q2 Loss: 0.0000, Policy Loss: -5.4686, Log Prob Mean: -5.5251, Log Prob Std: 0.3416, Alpha: 0.9908, Log Alpha: -0.0092
TD Error Mean: 0.0077, TD Error Std: 0.0070, Q1 Loss: 0.0001, Q2 Loss: 0.0000, Policy Loss: -5.4034, Log Prob Mean: -5.4518, Log Prob Std: 0.5057, Alpha: 0.9907, Log Alpha: -0.0093
TD Error Mean: 0.0084, TD Error Std: 0.0068, Q1 Loss: 0.0001, Q2 Loss: 0.0000, Policy Loss: -5.3458, Log Prob Mean: -5.3922, Log Prob Std: 0.4044, Alpha: 0.9906, Log Alpha: -0.0094
TD Error Mean: 0.0100, TD Error Std: 0.0071, Q1 Loss: 0.0001, Q2 Loss: 0.0000, Policy Loss: -5.5209, Log Prob Mean: -5.5712, Log Prob Std: 0.4814, Alpha: 0.9905, Log Alpha: -0.0095
TD Error Mean: 0.0084, TD Error Std: 0.0058, Q1 Loss: 0.0001, Q2 Loss: 0.0000, Policy Loss: -5.3390, Log Prob Mean: -5.3890, Log Prob Std: 0.4858, Alpha: 0.9904, Log Alpha: -0.0096
TD Error Mean: 0.0092, TD Error Std: 0.0063, Q1 Loss: 0.0001, Q2 Loss: 0.0000, Policy Loss: -5.2528, Log Prob Mean: -5.3050, Log Prob Std: 0.3674, Alpha: 0.9903, Log Alpha: -0.0097
TD Error Mean: 0.0082, TD Error Std: 0.0068, Q1 Loss: 0.0001, Q2 Loss: 0.0000, Policy Loss: -5.3710, Log Prob Mean: -5.4268, Log Prob Std: 0.6051, Alpha: 0.9902, Log Alpha: -0.0098
